id,wiki_id,name,status,type,lat,lng,country,weight,nr_tokens_norm
470480,37171,Ullal,outline,city,12.8,74.85,India,7850,0.011574214715353302
248560,37172,Ullapool,usable,city,57.898611111111,-5.1602777777778,United Kingdom,15475,0.0184397594021508
158172,37173,Ulleungdo,usable,city,37.5,130.8667,South Korea,15065,0.0181055957227049
938498,37174,Ulm,usable,city,48.4,9.9833,Germany,26060,0.02627741661097272
812405,37175,Ulsan,usable,city,35.55,129.317,South Korea,162758,0.0901330579014521
822846,37181,Uludağ,usable,park,40.069444,29.221389,Turkey,107439,0.06823014763958929
466617,37184,Uluru-Kata Tjuta National Park,guide,park,-25.33255,131.01282,Australia,181953,0.09712011665350265
641401,37188,Ulverston,outline,city,54.19300000000001,-3.09,United Kingdom,23053,0.024181298985357556
731123,37189,Ulvik,outline,city,60.621111,7.080278,Norway,2807,0.005620025517953703
508134,37190,Ulyanovsk,outline,city,54.3167,48.3667,Russia,10385,0.014034874536727627
109684,37193,Umag,outline,city,45.4333,13.5167,Croatia,30070,0.028950726046539886
222969,37196,Uman,usable,city,48.75,30.216666666667,Ukraine,1911,0.004252992283856856
929646,37198,Umbertide,outline,city,43.3,12.3333,Italy,5196,0.008688255665593293
411372,37201,Umeå,guide,city,63.825,20.263889,Sweden,111601,0.06999210158575855
372890,37202,Um er-Rasas,outline,city,31.500556,35.920833,Jordan,2913,0.00577191809952002
738836,37203,Umhlanga,outline,city,-29.728552,31.087317,South Africa,110,0.00027340664681936935
839871,37205,Umm al Quwain,outline,city,25.5,55.6,United Arab Emirates,61615,0.046965186220305
345852,37207,Umm Salal Mohammed,outline,city,25.4167,51.4,Qatar,4560,0.007928792757761711
840432,37209,Umphang,outline,city,16.0167,98.8667,Thailand,343,0.001063248070964214
303867,37215,Unawatuna,usable,city,6.0167,80.25,Sri Lanka,27000,0.02691536545355125
385925,37219,Undara Volcanic National Park,outline,park,-18.2,144.59,Australia,2177,0.004678291512242542
868297,37239,Union (Connecticut),outline,city,41.988056,-72.161389,United States of America,1397,0.003372015310772222
410856,37241,Union (Maine),outline,city,44.21139,-69.27417,United States of America,322,0.0010024910383376875
907096,37243,Union (Union County),outline,city,40.695266,-74.26907800000002,United States of America,10319,0.013974117504101099
755702,37244,Union (Washington),outline,city,47.35,-123.0833,United States of America,3741,0.00689592320311076
624502,37245,Union City (California),usable,city,37.6,-122.089,United States of America,6547,0.010207181481256456
983594,37254,Union Gap,outline,city,46.558388,-120.475388,United States of America,181,0.0005468132936387387
717448,37255,Union Grove,outline,city,36.0244,-80.8664,United States of America,76,0.00012151406525305304
485802,37256,Union Pier,outline,city,41.828056,-86.6925,United States of America,441,0.0013366547177835835
482665,37258,Uniontown (Ohio),outline,city,40.9758,-81.4067,United States of America,281,0.0008809769730846346
197513,37259,Uniontown (Pennsylvania),outline,city,39.9,-79.724444444444,United States of America,148,0.00042529922838568566
128566,37261,Unionville (Missouri),outline,city,40.47694,-93.00333,United States of America,76,0.00012151406525305304
905926,37283,Universal City,guide,city,34.138889,-118.3525,United States of America,131200,0.07801202989246005
923702,37287,University Heights,outline,city,41.495,-81.53694399999998,United States of America,797,0.002187253174554955
566762,37290,Unnao,outline,city,26.55,80.48,India,4964,0.008414849018773924
748872,37292,Unst,usable,city,60.75,-0.8833,United Kingdom,51376,0.04155781031654414
867165,37295,Upcountry Árnessýsla,outline,city,64.19800000000001,-20.359,Iceland,6408,0.010055288899690139
101291,37297,Upington,usable,city,-28.4667,21.2333,South Africa,3556,0.006652895072604654
147672,37298,Upland,usable,city,34.113259,-117.658386,United States of America,23739,0.024667355246369767
